+------------+--------------+------------+----------------------------+
| Дата   | Начало | Конец | Предмет             |
+------------+--------------+------------+----------------------------+
| 2016-09-02 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-09-02 | 10:10:00     | 11:40:00   | Биология           |
| 2016-09-02 | 11:50:00     | 13:20:00   | История             |
| 2016-09-03 | 08:30:00     | 10:00:00   | Биология           |
| 2016-09-03 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-09-03 | 11:50:00     | 13:20:00   | Литература       |
| 2016-09-03 | 13:50:00     | 15:20:00   | История             |
| 2016-09-03 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-09-04 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-09-04 | 10:10:00     | 11:40:00   | Биология           |
| 2016-09-04 | 11:50:00     | 13:20:00   | История             |
| 2016-09-05 | 08:30:00     | 10:00:00   | Литература       |
| 2016-09-05 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-09-05 | 11:50:00     | 13:20:00   | Биология           |
| 2016-09-05 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-09-08 | 08:30:00     | 10:00:00   | Биология           |
| 2016-09-08 | 10:10:00     | 11:40:00   | Литература       |
| 2016-09-08 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-09-08 | 13:50:00     | 15:20:00   | Физика               |
| 2016-09-09 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-09-09 | 10:10:00     | 11:40:00   | Биология           |
| 2016-09-09 | 11:50:00     | 13:20:00   | История             |
| 2016-09-10 | 08:30:00     | 10:00:00   | Биология           |
| 2016-09-10 | 10:10:00     | 11:40:00   | Товароведение |
| 2016-09-10 | 11:50:00     | 13:20:00   | Литература       |
| 2016-09-10 | 13:50:00     | 15:20:00   | История             |
| 2016-09-10 | 15:30:00     | 17:00:00   | Алгебра             |
| 2016-09-11 | 08:30:00     | 10:00:00   | Химия                 |
| 2016-09-11 | 10:10:00     | 11:40:00   | Биология           |
| 2016-09-11 | 11:50:00     | 13:20:00   | История             |
| 2016-09-12 | 08:30:00     | 10:00:00   | Литература       |
| 2016-09-12 | 10:10:00     | 11:40:00   | Химия                 |
| 2016-09-12 | 11:50:00     | 13:20:00   | Биология           |
| 2016-09-12 | 13:50:00     | 15:20:00   | Товароведение |
| 2016-09-15 | 08:30:00     | 10:00:00   | Биология           |
| 2016-09-15 | 10:10:00     | 11:40:00   | Литература       |
| 2016-09-15 | 11:50:00     | 13:20:00   | Товароведение |
| 2016-09-15 | 13:50:00     | 15:20:00   | Физика               |
| 2016-09-16 | 08:30:00     | 10:00:00   | Алгебра             |
| 2016-09-16 | 10:10:00     | 11:40:00   | Биология           |
| 2016-09-16 | 11:50:00     | 13:20:00   | История             |
| 2016-09-17 | 08:30:00     | 10:00:00   | Биология           |
| 2016-09-17 | 10:10:00     | 11:40:00   | Товароведение |
